,track,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorus_hit,sections,target
0,Great I Am - Live,New Life Worship,spotify:track:3rJAP9G6hjx2kN8Jsvas09,0.24600000000000002,0.51,2,-6.6370000000000005,1,0.036000000000000004,0.00799,4.57e-05,0.325,0.10099999999999999,159.915,328933,4,33.456140000000005,10,0
1,Dream 11 (whisper music) - Pt. 1,Max Richter,spotify:track:45Mxc03iwZ9jOZFmO5HqF0,0.294,0.00209,6,-37.395,1,0.0455,0.9940000000000001,0.963,0.10300000000000001,0.0407,66.829,188936,4,18.69754,11,0
2,Llama por Favor,Allison,spotify:track:3tZZEcmQoA2WWuAyxIoMCN,0.43200000000000005,0.799,1,-6.336,1,0.0347,0.00474,0.0,0.139,0.8490000000000001,173.168,134627,4,65.80158,6,0
3,"The Formation Of Damnation - Live @ Paramount Theatre, Huntington, New York",Testament,spotify:track:1yOZskFgBbGxNtAn7a1ezW,0.2,0.956,8,-8.521,1,0.0967,7.85e-06,0.431,0.9420000000000001,0.0761,100.39200000000001,407373,4,88.76415,11,0
4,We Have Arrived - Orginal Mix,Mescalinum United,spotify:track:6jg7l0KCQbmqy7rDdGi6N7,0.578,0.889,11,-5.695,0,0.17800000000000002,4.3700000000000005e-05,0.8,0.27699999999999997,0.21899999999999997,135.908,254653,4,36.75176,9,0
5,Roller Coaster,Luke Bryan,spotify:track:5r00wpsojd4mBYaQFDvni7,0.602,0.79,8,-4.46,1,0.0355,0.026000000000000002,7.43e-05,0.162,0.27399999999999997,108.008,259080,4,36.653209999999994,9,1
6,KIKA,6ix9ine Featuring Tory Lanez,spotify:track:6VRwEqn7BvsN0dChfDrMAf,0.745,0.715,1,-3.3680000000000003,0,0.245,0.128,0.0,0.182,0.342,94.51299999999999,136032,4,40.835809999999995,10,1
7,My Boo,Ghost Town DJ's,spotify:track:2SIN7qUVEY1vCuuxp76VQ9,0.909,0.44799999999999995,6,-9.021,0,0.147,0.000505,7.83e-06,0.0558,0.878,130.094,309847,4,38.908390000000004,15,1
8,"Beware, the Sirens",Getter,spotify:track:1k31A67B0r2PDytoPR283x,0.721,0.899,10,-4.07,0,0.057,0.0116,2.51e-05,0.126,0.0385,142.018,141972,4,59.177409999999995,4,0
9,Wanksta,50 Cent,spotify:track:6rpNe6gSkmiYW6BfSFATi5,0.8059999999999999,0.867,1,-3.5380000000000003,1,0.157,0.02,0.0,0.131,0.904,81.033,219400,4,29.107409999999998,10,1
10,Atonal Jazz,Vitor Munhoz,spotify:track:5x90iMvf1JhvTkEawB9Ao2,0.7929999999999999,0.621,11,-9.95,0,0.0856,0.00147,0.912,0.0936,0.307,121.985,428858,4,31.849140000000002,15,0
11,Hit 'Em Up Style (Oops!),Blu Cantrell,spotify:track:4zYTZvtcww7OWKie7fxA9E,0.7,0.774,5,-4.9830000000000005,0,0.0466,0.2,0.0,0.40399999999999997,0.652,90.0,250707,4,55.556259999999995,9,1
12,Fly Away,Vincent de Moor,spotify:track:3JoxlJ95GVxngQSY7V4yfR,0.643,0.941,5,-6.447,0,0.0433,0.00882,0.00443,0.35600000000000004,0.56,137.985,201760,4,22.160970000000002,10,0
13,Rockstar,Nickelback,spotify:track:6n9yCXvLhnYMgJIiIcMu7D,0.616,0.91,0,-3.0039999999999996,1,0.0386,0.0459,0.0,0.34299999999999997,0.693,144.07299999999998,252040,4,29.22461,11,1
14,Silent Veil of My Doom,Tears of Mankind,spotify:track:7yd4KDGoMhpIPGVtv8DYpt,0.223,0.423,11,-8.117,0,0.0347,0.0116,0.593,0.105,0.205,61.923,431640,4,31.86931,12,0
15,"Over the Wall - Live @ Paramount Theatre, Huntington, New York",Testament,spotify:track:24H1jjj44mNAxDvGSxooY6,0.217,0.986,8,-8.296,1,0.166,7.29e-06,0.608,0.462,0.0692,110.859,287893,4,116.41891000000001,9,0
16,Bump - Ambient Version,The American Dollar,spotify:track:6qmpR78pgcnmRADSgZ4srs,0.265,0.263,11,-19.212,0,0.0336,0.6579999999999999,0.976,0.11,0.0376,80.032,210217,3,29.38372,11,0
17,Loungin' - Jazz Not Jazz Mix,Guru,spotify:track:16tttmcImHHIvakYMVGNFZ,0.8540000000000001,0.614,3,-10.699000000000002,0,0.113,0.0534,0.0533,0.0933,0.7440000000000001,99.986,230040,4,33.2698,9,0
18,Clubstep,DJ Nate,spotify:track:4Z3nH4xGxQZBfsmv7cJYbn,0.687,0.762,11,-10.575,0,0.0671,0.000184,0.772,0.195,0.251,127.941,165407,4,53.49511,7,0
19,Snow In Space feat. Vokab Kompany - Original Mix,Stephan Jacobs,spotify:track:26xfzkhIGo0ts5gzCZpPgF,0.49700000000000005,0.812,4,-6.296,0,0.0544,0.000153,0.00557,0.152,0.35700000000000004,173.873,148965,4,66.57003,6,0
20,Chained To The Rhythm,Katy Perry Featuring Skip Marley,spotify:track:7qvxFz3JodM0A7xEM7k3YD,0.446,0.8,0,-5.404,1,0.174,0.0814,0.0,0.19899999999999998,0.474,189.89,237733,4,30.932290000000002,10,1
21,Live Your Life,T.I. Featuring Rihanna,spotify:track:3jlbL2OTD5YmIunYzgQTAN,0.375,0.862,11,-3.363,0,0.255,0.071,0.0,0.21100000000000002,0.478,159.841,338853,4,36.469,15,1
22,Blank Space,Taylor Swift,spotify:track:1kHEuJRasudLhjvnbfc4yS,0.76,0.703,5,-5.412000000000001,1,0.054000000000000006,0.10300000000000001,0.0,0.0913,0.57,95.99700000000001,231827,4,36.56333,11,1
23,Money,LEISURE,spotify:track:1mqxC4tqJgSNdIy1sj5kFR,0.8170000000000001,0.48,5,-8.529,1,0.0512,0.021,0.5379999999999999,0.0723,0.79,90.038,239000,4,32.6873,11,0
24,Last Night,Diddy Featuring Keyshia Cole,spotify:track:61u8YHgwacXM9Sm5JOblkp,0.8959999999999999,0.8440000000000001,3,-4.231,0,0.1,0.259,0.00121,0.203,0.9620000000000001,120.99700000000001,386147,4,72.42017,10,1
25,Astonishing,Mindi Dickstein,spotify:track:6tRtygw4gCDSlAEQ6aqpOH,0.345,0.325,1,-7.955,1,0.0354,0.902,0.00214,0.0721,0.168,90.03,275360,4,31.364390000000004,12,0
26,Boy,Lee Brice,spotify:track:7A8OfzqXBHYGk61FZTHoeo,0.498,0.408,6,-7.946000000000001,1,0.0331,0.644,0.0,0.0993,0.38299999999999995,78.942,198973,4,38.2084,12,1
27,West Side Story,LFO,spotify:track:4KJKJUetg7Gs3e0MAoSIzX,0.691,0.792,9,-3.884,1,0.0509,0.0961,0.0,0.392,0.302,100.057,208160,4,49.502359999999996,12,1
28,Welcome To Atlanta,Jermaine Dupri & Ludacris,spotify:track:19VTqucnxJuH6kilNdweTh,0.7509999999999999,0.7859999999999999,3,-7.441,0,0.38299999999999995,0.0126,0.0,0.107,0.679,95.98899999999999,200840,4,58.072880000000005,9,1
29,Lay Low,"Snoop Dogg Featuring Master P, Nate Dogg, Butch Cassidy & Tha Eastsidaz",spotify:track:4QNJd8ma02Oy9PBenHErs1,0.723,0.644,0,-4.803,1,0.45,0.151,0.0,0.19899999999999998,0.743,189.537,222360,4,39.44697,10,1
30,Yeh Duniya Badi Bewfaa (remastered),Lata Mangeshkar,spotify:track:0ewjxPyMwaYM4n8MBLk0un,0.39299999999999996,0.371,1,-14.762,0,0.18899999999999997,0.9670000000000001,0.00392,0.18899999999999997,0.386,95.859,276376,4,17.747139999999998,15,0
31,Demons And Angels,A Boogie Wit da Hoodie Featuring Juice WRLD,spotify:track:3L19besdNQzd342qL78xqm,0.81,0.55,2,-7.46,0,0.17,0.0114,5.69e-06,0.107,0.183,76.503,214593,4,50.985279999999996,9,1
32,Scat Rap,RC & The Groovediggers,spotify:track:4loFghKZanD7RwJWttlKBX,0.875,0.38799999999999996,2,-12.902000000000001,1,0.374,0.263,0.028999999999999998,0.0813,0.35700000000000004,98.978,268000,4,20.86185,11,0
33,Dear Hate,Maren Morris Featuring Vince Gill,spotify:track:7zOoHxDt1duHL8czY7o7ab,0.526,0.41200000000000003,9,-9.292,1,0.0385,0.804,0.0,0.11699999999999999,0.289,79.732,220387,4,66.78981,10,1
34,This Calling,All That Remains,spotify:track:2vH5Fy44mcCDUrUk0XbvfH,0.5429999999999999,0.988,2,-2.6719999999999997,0,0.0906,1.0800000000000002e-05,0.0008550000000000001,0.317,0.245,108.059,218533,4,52.36768,10,0
35,Juju On That Beat (TZ Anthem),Zay Hilfigerrr & Zayion McCall,spotify:track:1lItf5ZXJc1by9SbPeljFd,0.807,0.887,1,-3.892,1,0.275,0.00381,0.0,0.391,0.78,160.517,144244,4,24.991989999999998,8,1
